Device Name,Series,CPU,Flash (kBytes),SRAM (kBytes),EEPROM (Bytes)
ATSAM3A4C,,Cortex-M3,256,64,0
ATSAM3A8C,,Cortex-M3,512,96,0
ATSAM3N00A,,Cortex-M3,16,4,0
ATSAM3N00B,,Cortex-M3,16,4,0
ATSAM3N0A,,Cortex-M3,32,8,0
ATSAM3N0B,,Cortex-M3,32,8,0
ATSAM3N0C,,Cortex-M3,32,8,0
ATSAM3N1A,,Cortex-M3,64,8,0
ATSAM3N1B,,Cortex-M3,64,8,0
ATSAM3N1C,,Cortex-M3,64,8,0
ATSAM3S1A,,Cortex-M3,64,16,0
ATSAM3S1B,,Cortex-M3,64,16,0
ATSAM3S1C,,Cortex-M3,64,16,0
ATSAM3S2A,,Cortex-M3,128,32,0
ATSAM3S2B,,Cortex-M3,128,32,0
ATSAM3S2C,,Cortex-M3,128,32,0
ATSAM3S4A,,Cortex-M3,256,48,0
ATSAM3S4B,,Cortex-M3,256,48,0
ATSAM3S4C,,Cortex-M3,256,48,0
ATSAM3S8B,,Cortex-M3,512,64,0
ATSAM3S8C,,Cortex-M3,512,64,0
ATSAM3SD8B,,Cortex-M3,512,64,0
ATSAM3SD8C,,Cortex-M3,512,64,0
ATSAM3U1C,,Cortex-M3,64,20,0
ATSAM3U1E,,Cortex-M3,64,20,0
ATSAM3U2C,,Cortex-M3,128,36,0
ATSAM3U2E,,Cortex-M3,128,36,0
ATSAM3U4C,,Cortex-M3,256,50,0
ATSAM3U4E,,Cortex-M3,256,50,0
ATSAM3X4C,,Cortex-M3,256,64,0
ATSAM3X4E,,Cortex-M3,256,64,0
ATSAM3X8C,,Cortex-M3,512,96,0
ATSAM3X8E,,Cortex-M3,512,96,0
ATSAM4E16C,,Cortex-M4,1024,128,0
ATSAM4E16E,,Cortex-M4,1024,128,0
ATSAM4E8C,,Cortex-M4,512,128,0
ATSAM4E8E,,Cortex-M4,512,128,0
ATSAM4LC2A,SAM4L LC,Cortex-M4,128,32,0
ATSAM4LC2B,SAM4L LC,Cortex-M4,128,32,0
ATSAM4LC2C,SAM4L LC,Cortex-M4,128,32,0
ATSAM4LC4A,SAM4L LC,Cortex-M4,256,32,0
ATSAM4LC4B,SAM4L LC,Cortex-M4,256,32,0
ATSAM4LC4C,SAM4L LC,Cortex-M4,256,32,0
ATSAM4LC8A,SAM4L LC,Cortex-M4,512,64,0
ATSAM4LC8B,SAM4L LC,Cortex-M4,512,64,0
ATSAM4LC8C,,Cortex-M4,512,64,0
ATSAM4LS2A,SAM4L LS,Cortex-M4,128,32,0
ATSAM4LS2B,SAM4L LS,Cortex-M4,128,32,0
ATSAM4LS2C,SAM4L LS,Cortex-M4,128,32,0
ATSAM4LS4A,SAM4L LS,Cortex-M4,256,32,0
ATSAM4LS4B,SAM4L LS,Cortex-M4,256,32,0
ATSAM4LS4C,SAM4L LS,Cortex-M4,256,32,0
ATSAM4LS8A,SAM4L LS,Cortex-M4,512,32,0
ATSAM4LS8B,SAM4L LS,Cortex-M4,512,64,0
ATSAM4LS8C,SAM4L LS,Cortex-M4,512,64,0
ATSAM4N16B,,Cortex-M4,1024,80,0
ATSAM4N16C,,Cortex-M4,1024,80,0
ATSAM4N8A,,Cortex-M4,512,64,0
ATSAM4N8B,,Cortex-M4,512,64,0
ATSAM4N8C,,Cortex-M4,512,64,0
ATSAM4S16B,,Cortex-M4,1024,128,0
ATSAM4S16C,,Cortex-M4,1024,128,0
ATSAM4S2A,,Cortex-M4,128,64,0
ATSAM4S2B,,Cortex-M4,128,64,0
ATSAM4S2C,,Cortex-M4,128,64,0
ATSAM4S4A,,Cortex-M4,256,64,0
ATSAM4S4B,,Cortex-M4,256,64,0
ATSAM4S4C,,Cortex-M4,256,64,0
ATSAM4S8B,,Cortex-M4,512,128,0
ATSAM4S8C,,Cortex-M4,512,128,0
ATSAM4SA16B,,Cortex-M4,1024,160,0
ATSAM4SA16C,,Cortex-M4,1024,160,0
ATSAM4SD16B,,Cortex-M4,1024,160,0
ATSAM4SD16C,,Cortex-M4,1024,160,0
ATSAM4SD32B,,Cortex-M4,2048,160,0
ATSAM4SD32C,,Cortex-M4,2048,160,0
ATSAMC20E15A,SAM C20,Cortex-M0+,32,4,
ATSAMC20E16A,SAM C20,Cortex-M0+,64,8,
ATSAMC20E17A,SAM C20,Cortex-M0+,128,16,
ATSAMC20E18A,SAM C20,Cortex-M0+,256,32,
ATSAMC20G15A,SAM C20,Cortex-M0+,32,4,
ATSAMC20G16A,SAM C20,Cortex-M0+,64,8,
ATSAMC20G17A,SAM C20,Cortex-M0+,128,16,
ATSAMC20G18A,SAM C20,Cortex-M0+,256,32,
ATSAMC20J15A,SAM C20,Cortex-M0+,32,4,
ATSAMC20J16A,SAM C20,Cortex-M0+,64,8,
ATSAMC20J17A,SAM C20,Cortex-M0+,128,16,
ATSAMC20J18A,SAM C20,Cortex-M0+,256,32,
ATSAMC21E15A,SAM C21,Cortex-M0+,32,4,
ATSAMC21E16A,SAM C21,Cortex-M0+,64,8,
ATSAMC21E17A,SAM C21,Cortex-M0+,128,16,
ATSAMC21E18A,SAM C21,Cortex-M0+,256,32,
ATSAMC21G15A,SAM C21,Cortex-M0+,32,4,
ATSAMC21G16A,SAM C21,Cortex-M0+,64,8,
ATSAMC21G17A,SAM C21,Cortex-M0+,128,16,
ATSAMC21G18A,SAM C21,Cortex-M0+,256,32,
ATSAMC21J15A,SAM C21,Cortex-M0+,32,4,
ATSAMC21J16A,SAM C21,Cortex-M0+,64,8,
ATSAMC21J17A,SAM C21,Cortex-M0+,128,16,
ATSAMC21J18A,SAM C21,Cortex-M0+,256,32,
ATSAMD20E14,SAM D20,Cortex-M0+,16,2,0
ATSAMD20E15,SAM D20,Cortex-M0+,32,4,0
ATSAMD20E16,SAM D20,Cortex-M0+,64,8,0
ATSAMD20E17,SAM D20,Cortex-M0+,128,16,0
ATSAMD20E18,SAM D20,Cortex-M0+,256,32,0
ATSAMD20G14,SAM D20,Cortex-M0+,16,2,0
ATSAMD20G15,SAM D20,Cortex-M0+,32,4,0
ATSAMD20G16,SAM D20,Cortex-M0+,64,8,0
ATSAMD20G17,SAM D20,Cortex-M0+,128,16,0
ATSAMD20G18,SAM D20,Cortex-M0+,256,32,0
ATSAMD20J14,SAM D20,Cortex-M0+,16,2,0
ATSAMD20J15,SAM D20,Cortex-M0+,32,4,0
ATSAMD20J16,SAM D20,Cortex-M0+,64,8,0
ATSAMD20J17,SAM D20,Cortex-M0+,128,16,0
ATSAMD20J18,SAM D20,Cortex-M0+,256,32,0
ATSAMD21E15L,SAM D21,Cortex-M0+,32,4,
ATSAMD21E16L,SAM D21,Cortex-M0+,64,8,
ATSAMD21G16L,SAM D21,Cortex-M0+,64,8,
ATSAMDA1E14A,SAM DA1,Cortex-M0+,16,4,512
ATSAMDA1E15A,SAM DA1,Cortex-M0+,32,4,512
ATSAMDA1E16A,SAM DA1,Cortex-M0+,64,8,512
ATSAMDA1G14A,SAM DA1,Cortex-M0+,16,4,1024
ATSAMDA1G15A,SAM DA1,Cortex-M0+,32,4,1024
ATSAMDA1G16A,SAM DA1,Cortex-M0+,64,8,1024
ATSAMDA1J14A,SAM DA1,Cortex-M0+,16,4,2048
ATSAMDA1J15A,SAM DA1,Cortex-M0+,32,8,2048
ATSAMDA1J16A,SAM DA1,Cortex-M0+,64,8,2048
ATSAME70J19,SAM E70,Cortex-M7,512,256,0
ATSAME70J20,SAM E70,Cortex-M7,1024,384,0
ATSAME70J21,SAM E70,Cortex-M7,2048,384,0
ATSAME70N19,SAM E70,Cortex-M7,512,256,0
ATSAME70N20,SAM E70,Cortex-M7,1024,384,0
ATSAME70N21,SAM E70,Cortex-M7,2048,384,0
ATSAME70Q19,SAM E70,Cortex-M7,512,256,0
ATSAME70Q20,SAM E70,Cortex-M7,1024,384,0
ATSAME70Q21,SAM E70,Cortex-M7,2048,384,0
ATSAML21E15B,SAM L21,Cortex-M0+,32,4,0
ATSAML21E16B,SAM L21,Cortex-M0+,64,8,0
ATSAML21E17B,SAM L21,Cortex-M0+,128,16,0
ATSAML21E18B,SAM L21,Cortex-M0+,256,32,0
ATSAML21G16B,SAM L21,Cortex-M0+,64,8,0
ATSAML21G17B,SAM L21,Cortex-M0+,128,16,0
ATSAML21G18B,SAM L21,Cortex-M0+,256,32,0
ATSAML21J16B,SAM L21,Cortex-M0+,64,8,0
ATSAML21J17B,SAM L21,Cortex-M0+,128,16,0
ATSAML21J18B,SAM L21,Cortex-M0+,256,32,0
ATSAML22G16A,SAM L22,Cortex-M0+,64,8,
ATSAML22G17A,SAM L22,Cortex-M0+,128,16,
ATSAML22G18A,SAM L22,Cortex-M0+,256,32,
ATSAML22J16A,SAM L22,Cortex-M0+,64,8,
ATSAML22J17A,SAM L22,Cortex-M0+,128,16,
ATSAML22J18A,SAM L22,Cortex-M0+,256,32,
ATSAML22N16A,SAM L22,Cortex-M0+,64,8,
ATSAML22N17A,SAM L22,Cortex-M0+,128,16,
ATSAML22N18A,SAM L22,Cortex-M0+,256,32,
ATSAMS70J19,SAM S70,Cortex-M7,512,256,0
ATSAMS70J20,SAM S70,Cortex-M7,1024,384,0
ATSAMS70J21,SAM S70,Cortex-M7,2048,384,0
ATSAMS70N19,SAM S70,Cortex-M7,512,256,0
ATSAMS70N20,SAM S70,Cortex-M7,1024,384,0
ATSAMS70N21,SAM S70,Cortex-M7,2048,384,0
ATSAMS70Q19,SAM S70,Cortex-M7,512,256,0
ATSAMS70Q20,SAM S70,Cortex-M7,1024,384,0
ATSAMS70Q21,SAM S70,Cortex-M7,2048,384,0
ATSAMV70J19,,Cortex-M7,512,256,0
ATSAMV70J20,,Cortex-M7,1024,384,0
ATSAMV70N19,,Cortex-M7,512,256,0
ATSAMV70N20,SAM V70,Cortex-M7,1024,384,0
ATSAMV70Q19,SAM V70,Cortex-M7,512,256,0
ATSAMV70Q20,SAM V70,Cortex-M7,1024,384,0
ATSAMV71J19,SAM V71,Cortex-M7,512,256,0
