Product,Group,SRAM (KB) ,Program Memory(KB) ,Type of Memory,CORE
XMC1100-T016X0064 AA,XMC1100,16,64,Flash,ARM Cortex-M0
XMC1100-T016F0064 AA,XMC1100,16,64,Flash,ARM Cortex-M0
XMC1100-T016F0008 AA,XMC1100,16,8,Flash,ARM Cortex-M0
XMC1100-T016X0032 AA,XMC1100,16,32,Flash,ARM Cortex-M0
XMC1100-T038F0016 AA,XMC1100,16,16,Flash,ARM Cortex-M0
XMC1100-T016F0016 AA,XMC1100,16,16,Flash,ARM Cortex-M0
XMC1100-T016F0032 AA,XMC1100,16,32,Flash,ARM Cortex-M0
XMC1100-T038F0032 AA,XMC1100,16,32,Flash,ARM Cortex-M0
XMC1100-T038X0064 AA,XMC1100,16,64,Flash,ARM Cortex-M0
XMC1100-T038F0064 AA,XMC1100,16,64,Flash,ARM Cortex-M0
XMC1100-T016F0008 AB,XMC1100,16,8,Flash,ARM Cortex-M0
XMC1100-T016X0016 AB,XMC1100,16,16,Flash,ARM Cortex-M0
XMC1100-Q040F0032 AB,XMC1100,16,32,Flash,ARM Cortex-M0
XMC1100-Q040F0016 AB,XMC1100,16,16,Flash,ARM Cortex-M0
XMC1100-T016F0032 AB,XMC1100,16,32,Flash,ARM Cortex-M0
XMC1100-Q024F0064 AB,XMC1100,16,64,Flash,ARM Cortex-M0
XMC1100-T038F0064 AB,XMC1100,16,64,Flash,ARM Cortex-M0
XMC1100-T038F0032 AB,XMC1100,16,32,Flash,ARM Cortex-M0
XMC1100-T038F0016 AB,XMC1100,16,16,Flash,ARM Cortex-M0
XMC1100-T016X0064 AB,XMC1100,16,64,Flash,ARM Cortex-M0
XMC1100-T038X0064 AB,XMC1100,16,64,Flash,ARM Cortex-M0
XMC1100-Q024F0032 AB,XMC1100,16,32,Flash,ARM Cortex-M0
XMC1100-Q024F0016 AB,XMC1100,16,16,Flash,ARM Cortex-M0
XMC1100-Q024F0008 AB,XMC1100,16,8,Flash,ARM Cortex-M0
XMC1100-T016X0032 AB,XMC1100,16,32,Flash,ARM Cortex-M0
XMC1100-T016F0064 AB,XMC1100,16,64,Flash,ARM Cortex-M0
XMC1100-Q040F0064 AB,XMC1100,16,64,Flash,ARM Cortex-M0
XMC1100-T016F0016 AB,XMC1100,16,16,Flash,ARM Cortex-M0
XMC1201-T038F0016 AA,XMC1200,16,16,Flash,ARM Cortex-M0
XMC1201-T038F0032 AA,XMC1200,16,32,Flash,ARM Cortex-M0
XMC1201-T038F0064 AA,XMC1200,16,64,Flash,ARM Cortex-M0
XMC1201-T038F0200 AA,XMC1200,16,200,Flash,ARM Cortex-M0
XMC1202-T016X0016 AA,XMC1200,16,16,Flash,ARM Cortex-M0
XMC1202-T028X0016 AA,XMC1200,16,16,Flash,ARM Cortex-M0
XMC1202-T028X0032 AA,XMC1200,16,32,Flash,ARM Cortex-M0
XMC1202-T016X0032 AA,XMC1200,16,32,Flash,ARM Cortex-M0
XMC1202-Q040X0016 AB,XMC1200,16,16,Flash,ARM Cortex-M0
XMC1202-T028X0064 AB,XMC1200,16,64,Flash,ARM Cortex-M0
XMC1201-T038F0128 AB,XMC1200,16,128,Flash,ARM Cortex-M0
XMC1202-T016X0064 AB,XMC1200,16,64,Flash,ARM Cortex-M0
XMC1201-T028F0016 AB,XMC1200,16,16,Flash,ARM Cortex-M0
XMC1200-T038F0200 AB,XMC1200,16,200,Flash,ARM Cortex-M0
XMC1201-T038F0016 AB,XMC1200,16,16,Flash,ARM Cortex-M0
XMC1201-Q040F0064 AB,XMC1200,16,64,Flash,ARM Cortex-M0
XMC1201-Q040F0200 AB,XMC1200,16,200,Flash,ARM Cortex-M0
XMC1201-Q040F0128 AB,XMC1200,16,128,Flash,ARM Cortex-M0
XMC1201-Q040F0032 AB,XMC1200,16,32,Flash,ARM Cortex-M0
XMC1201-Q040F0016 AB,XMC1200,16,16,Flash,ARM Cortex-M0
XMC1202-T028X0032 AB,XMC1200,16,32,Flash,ARM Cortex-M0
XMC1202-T028X0016 AB,XMC1200,16,16,Flash,ARM Cortex-M0
XMC1201-T038F0032 AB,XMC1200,16,32,Flash,ARM Cortex-M0
XMC1202-Q024X0032 AB,XMC1200,16,32,Flash,ARM Cortex-M0
XMC1202-Q024X0016 AB,XMC1200,16,16,Flash,ARM Cortex-M0
XMC1201-T038F0200 AB,XMC1200,16,200,Flash,ARM Cortex-M0
XMC1201-T038F0064 AB,XMC1200,16,64,Flash,ARM Cortex-M0
XMC1202-T016X0032 AB,XMC1200,16,32,Flash,ARM Cortex-M0
XMC1202-T016X0016 AB,XMC1200,16,16,Flash,ARM Cortex-M0
XMC1202-Q040X0032 AB,XMC1200,16,32,Flash,ARM Cortex-M0
XMC1301-T016F0008 AA,XMC1300,16,8,Flash,ARM Cortex-M0
XMC1301-T038F0008 AA,XMC1300,16,8,Flash,ARM Cortex-M0
XMC1301-T016X0008 AA,XMC1300,16,8,Flash,ARM Cortex-M0
XMC1301-T016F0016 AA,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1301-T038F0016 AA,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1301-T016X0016 AA,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1301-T038F0032 AA,XMC1300,16,32,Flash,ARM Cortex-M0
XMC1302-T016X0016 AA,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1302-T038X0016 AA,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1302-T038X0032 AA,XMC1300,16,32,Flash,ARM Cortex-M0
XMC1302-T038X0200 AA,XMC1300,16,200,Flash,ARM Cortex-M0
XMC1302-T016X0008 AA,XMC1300,16,8,Flash,ARM Cortex-M0
XMC1302-T016X0032 AA,XMC1300,16,32,Flash,ARM Cortex-M0
XMC1302-T038X0064 AA,XMC1300,16,64,Flash,ARM Cortex-M0
XMC1302-Q024X0064 AB,XMC1300,16,64,Flash,ARM Cortex-M0
XMC1302-T038X0032 AB,XMC1300,16,32,Flash,ARM Cortex-M0
XMC1302-Q024X0032 AB,XMC1300,16,32,Flash,ARM Cortex-M0
XMC1302-T016X0032 AB,XMC1300,16,32,Flash,ARM Cortex-M0
XMC1302-Q024X0016 AB,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1302-T038X0128 AB,XMC1300,16,128,Flash,ARM Cortex-M0
XMC1302-T016X0016 AB,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1302-Q024F0064 AB,XMC1300,16,64,Flash,ARM Cortex-M0
XMC1301-T038X0064 AB,XMC1300,16,64,Flash,ARM Cortex-M0
XMC1302-T016X0008 AB,XMC1300,16,8,Flash,ARM Cortex-M0
XMC1301-Q040F0032 AB,XMC1300,16,32,Flash,ARM Cortex-M0
XMC1301-T038F0064 AB,XMC1300,16,64,Flash,ARM Cortex-M0
XMC1301-Q040F0016 AB,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1301-Q040F0008 AB,XMC1300,16,8,Flash,ARM Cortex-M0
XMC1301-Q024F0016 AB,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1302-Q040X0128 AB,XMC1300,16,128,Flash,ARM Cortex-M0
XMC1302-Q040X0064 AB,XMC1300,16,64,Flash,ARM Cortex-M0
XMC1302-Q040X0032 AB,XMC1300,16,32,Flash,ARM Cortex-M0
XMC1301-Q024F0008 AB,XMC1300,16,8,Flash,ARM Cortex-M0
XMC1302-Q040X0016 AB,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1302-T038X0016 AB,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1301-T016X0016 AB,XMC1300,16,16,Flash,ARM Cortex-M0
XMC1301-T016X0008 AB,XMC1300,16,8,Flash,ARM Cortex-M0
XMC1302-Q024F0016 AB,XMC1300,16,16,Flash,ARM Cortex-M0
