Part Number,Parts,CPU,Clock speed [max] (MHz) ,DMIPS,Flash (KB),SRAM(kB),EEPROM (kB) ,GPIO,USB,USB (speed),USB (type),CAN,UART,I?C,SPI,ADC channels,ADC (bits) ,Comparators,DAC (bits) ,Timers,Timer (bits) ,SCTimer / PWM,PWM,Package name,Temperature range,Temperature sensor,Supply voltage [min] (V) ,Supply voltage [max] (V) ,Product status,Demoboard,,,,
LPC810M021FN8,LPC810M021FN8,Cortex-M0+,30,28,4,1,0,2,1,1,0,0,1,4,16; 32,DIP8,-40 °C to +85 °C,1.8,3.6,Production,LPC81X,,,,,,,,,,,,,
LPC811M001JDH16,LPC811M001JDH16,Cortex-M0+,30,28,8,2,0,2,1,1,0,0,1,4,16; 32,TSSOP16,-40 °C to +105 °C,1.8,3.6,Production,LPC81X,,,,,,,,,,,,,
LPC812M101JD20,LPC812M101JD20,Cortex-M0+,30,28,16,4,0,2,1,1,0,0,1,4,16; 32,SO20,-40 °C to +105 °C,1.8,3.6,Production,LPC81X,,,,,,,,,,,,,
LPC812M101JDH16,LPC812M101JDH16,Cortex-M0+,30,28,16,4,0,3,1,2,0,0,1,4,16; 32,TSSOP16,-40 °C to +105 °C,1.8,3.6,Production,LPC81X,,,,,,,,,,,,,
LPC812M101JDH20,LPC812M101JDH20,Cortex-M0+,30,28,16,4,0,3,1,2,0,0,1,4,16; 32,TSSOP20,-40 °C to +105 °C,1.8,3.6,Production,LPC81X,,,,,,,,,,,,,
LPC812M101JTB16,LPC812M101JTB16,Cortex-M0+,30,28,16,4,0,3,1,2,0,0,1,4,16; 32,XSON16,-40 °C to +105 °C,1.8,3.6,Production,LPC82X,,,,,,,,,,,,,
LPC822M101JDH20,LPC822M101JDH20,Cortex-M0+,30,28,16,4,0,3,4,2,5,12,1,3,16; 32,TSSOP20,-40 °C to +105 °C,1.8,3.6,Production,LPC82X,,,,,,,,,,,,,
LPC822M101JHI33,LPC822M101JHI33,Cortex-M0+,30,28,16,4,0,3,4,2,12,12,1,3,16; 32,HVQFN32,-40 °C to +105 °C,1.8,3.6,Production,LPC82X,,,,,,,,,,,,,
LPC824M201JDH20,LPC824M201JDH20,Cortex-M0+,30,28,32,8,0,3,4,2,5,12,1,3,16; 32,TSSOP20,-40 °C to +105 °C,1.8,3.6,Production,LPC82X,,,,,,,,,,,,,
LPC824M201JHI33,LPC824M201JHI33,Cortex-M0+,30,28,32,8,0,3,4,2,12,12,1,3,16; 32,HVQFN32,-40 °C to +105 °C,1.8,3.6,Production,LPC83X,,,,,,,,,,,,,
