Part Number,Parts,CPU,Clock speed [max] (MHz) ,DMIPS,Flash (KB),SRAM(kB),EEPROM (kB) ,GPIO,USB,USB (speed),USB (type),CAN,UART,I?C,SPI,ADC channels,ADC (bits) ,Comparators,DAC (bits) ,Timers,Timer (bits) ,SCTimer / PWM,PWM,Package name,Temperature range,Temperature sensor,Supply voltage [min] (V) ,Supply voltage [max] (V) ,Product status,Demoboard,,,,
LPC1114FA44,from old ,Cortex-M0,50,0,32,8,-0,21,-0,,0,1,2,2,,8,10,4,16, 32,13,PLCC44,-0,11,Y,1.8,3.6,Development,OM13035, OM11086, OM11085,,,,,,,,,
LPC1101LVUK,LPC1101LVUK,Cortex-M0,50,-,32,2,-,21,-,-,-,-,1,1,1,6,8,-,22,16; 32,1,-,11,WLCSP25,-40 °C to +85 °C,-,N,1.71,1.89,Production,-,,,
LPC1102LVUK,LPC1102LVUK,Cortex-M0,50,42,32,8,-,21,-,-,-,-,1,1,1,6,8,-,22,16; 32,1,-,11,WLCSP25,-40 °C to +85 °C,-,N,1.71,1.89,Production,-,,,
LPC1102UK,LPC1102UK,Cortex-M0,50,-,32,8,-,11,-,-,-,-,1,-,1,5,10,-,22,16; 32,1,-,11,WLCSP,-40 °C to +85 °C,-,N,1.8,3.6,Production,-,,,
LPC1104UK,LPC1104UK,Cortex-M0,50,-,32,8,-,11,-,-,-,-,1,-,1,5,10,-,22,16; 32,1,-,11,WLCSP,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM13047,,,
LPC1110FD20,LPC1110FD20,Cortex-M0,50,42,4,1,-,16,-,-,-,-,1,1,1,5,10,-,22,16; 32,1,-,13,SO20,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM13016; OM11086; OM11083; OM11049; OM13035,,,
LPC1111FDH20,LPC1111FDH20,Cortex-M0,50,-,8,2,-,16,-,-,-,-,1,1,1,5,10,-,22,16; 32,1,-,13,TSSOP20,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1111FDH20,LPC1111FDH20/002,Cortex-M0,50,-,8,2,-,16,-,-,-,-,1,1,1,5,10,-,22,16; 32,1,-,13,TSSOP20,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1111FHN33,LPC1111FHN33,Cortex-M0,50,-,8,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1111FHN33,LPC1111FHN33/101,Cortex-M0,50,-,8,2,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
