Device Family,SRAM0 Address,SRAM0 Size (kB),SRAM1 Address,SRAM1 Size (kB),SRAM2 Address,SRAM2 Size (kB),USB SRAM Address,USB SRAM Size (kB),AHB SRAM0 Address,AHB SRAM0 Size (kB),AHB SRAM1 Address,AHB SRAM1 Size (kB),AHB SRAM2 Address,AHB SRAM2 Size (kB),M0 Subsystem SRAM Address,M0 Subsystem SRAM Size (kB)
LPC810,0x1000 0000,1,,,,,,,,,,,,,,
LPC811,0x1000 0000,2,,,,,,,,,,,,,,
LPC812,0x1000 0000,4,,,,,,,,,,,,,,
LPC1102|4,0x1000 0000,8,,,,,,,,,,,,,,
LPC11A11,0x1000 0000,2,,,,,,,,,,,,,,
LPC11A02|12,0x1000 0000,6,,,,,,,,,,,,,,
LPC11A13,0x1000 0000,4,,,,,,,,,,,,,,
LPC11A04|A14,0x1000 0000,8,,,,,,,,,,,,,,
LPC11C,0x1000 0000,8,,,,,,,,,,,,,,
LPC11D14,0x1000 0000,8,,,,,,,,,,,,,,
LPC11E11,0x1000 0000,4,,,,,,,,,,,,,,
LPC11E12,0x1000 0000,6,,,,,,,,,,,,,,
LPC11E13,0x1000 0000,8,,,,,,,,,,,,,,
LPC11E14,0x1000 0000,8,0x2000 0000,2,,,,,,,,,,,,
LPC11E3,0x1000 0000,8,0x2000 0000,2,0x2000 4000,2,,,,,,,,,,
LPC11U1,0x1000 0000,4,,,,,0x2000 4000,2,,,,,,,,
LPC11U22xxxxx/301|23xxxxx/301|24xxxxx/301,0x1000 0000,6,,,,,0x2000 4000,2,,,,,,,,
LPC11U24xxxxx/401,0x1000 0000,8,,,,,0x2000 4000,2,,,,,,,,
LPC11U34xxxxx/311,0x1000 0000,8,,,,,,,,,,,,,,
LPC11U34xxxxx/421,0x1000 0000,8,,,,,0x2000 4000,2,,,,,,,,
LPC11U35xxxxx/501|36xxxxx/501,0x1000 0000,8,0x2000 0000,2,,,0x2000 4000,2,,,,,,,,
LPC11U37xxxxx?,0x1000 0000,8,0x2000 0000,2,,,0x2000 4000,2,,,,,,,,
LPC1101LVUK,0x1000 0000,2,,,,,,,,,,,,,,
LPC1112LVFHN24/003,0x1000 0000,2,,,,,,,,,,,,,,
LPC111xLVxxxx?/103,0x1000 0000,4,,,,,,,,,,,,,,
LPC1102LVUK,0x1000 0000,8,,,,,,,,,,,,,,
LPC111xLVxxxxx/303,0x1000 0000,8,,,,,,,,,,,,,,
LPC1224,0x1000 0000,8,,,,,,,,,,,,,,
LPC1225|6|7,0x1000 0000,4,,,,,,,,,,,,,,
LPC12D27,0x1000 0000,8,,,,,,,,,,,,,,
LPC1311|42,0x1000 0000,4,,,,,,,,,,,,,,
LPC1313|43,0x1000 0000,8,,,,,,,,,,,,,,
LPC1315|16,0x1000 0000,8,,,,,,,,,,,,,,
LPC1317,0x1000 0000,8,0x2000 0000,2,,,,,,,,,,,,
LPC1345|46,0x1000 0000,8,,,,,0x2000 4000,2,,,,,,,,
LPC1347,0x1000 0000,8,0x2000 0000,2,,,0x2000 4000,2,,,,,,,,
LPC1751,0x1000 0000,8,,,,,,,,,,,,,,
LPC1752,0x1000 0000,16,,,,,,,,,,,,,,
LPC1756|4,0x1000 0000,16,,,,,,,0x2007 C000,16,,,,,,
LPC1759|8,0x1000 0000,32,,,,,,,0x2007 C000,16,0x2008 0000,16,,,,
LPC1764,0x1000 0000,16,,,,,,,0x2007 C000,16,,,,,,
LPC1769|8|7|6|5|3,0x1000 0000,32,,,,,,,0x2007 C000,16,0x2008 0000,16,,,,
LPC1774,0x1000 0000,32,,,,,,,0x2000 0000,8,,,,,,
LPC1776,0x1000 0000,64,,,,,,,0x2000 0000,16,,,,,,
LPC1777|8,0x1000 0000,64,,,,,,,0x2000 0000,16,0x2000 4000,16,,,,
LPC1785|6,0x1000 0000,64,,,,,,,0x2000 0000,16,,,,,,
LPC1787|8,0x1000 0000,64,,,,,,,0x2000 0000,16,0x2000 4000,16,,,,
LPC1812|13|22|23,0x1000 0000,32,0x1008 0000,40,,,,,0x2000 0000,16,,,0x2000 C000,16,,
LPC1815|17|25|27|33|37|53|57,0x1000 0000,32,0x1008 0000,40,,,,,0x2000 0000,32,0x2000 8000,16,0x2000 C000,16,,
LPC1810,0x1000 0000,64,0x1008 0000,40,,,,,0x2000 0000,16,,,0x2000 C000,16,,
LPC1820,0x1000 0000,96,0x1008 0000,40,,,,,0x2000 0000,16,,,0x2000 C000,16,,
LPC1830|50,0x1000 0000,96,0x1008 0000,40,,,,,0x2000 0000,32,0x2000 8000,16,0x2000 C000,16,,
LPC4072,0x1000 0000,16,,,,,,,0x2000 0000,8,,,,,,
LPC4074,0x1000 0000,32,,,,,,,0x2000 0000,8,,,,,,
LPC4076,0x1000 0000,64,,,,,,,0x2000 0000,16,,,,,,
LPC4078|88,0x1000 0000,64,,,,,,,0x2000 0000,16,0x2000 4000,16,,,,
LPC4310,0x1000 0000,96,0x1008 0000,40,,,,,0x2000 0000,16,,,0x2000 C000,16,,
LPC4320,0x1000 0000,96,0x1008 0000,40,,,,,0x2000 0000,32,0x2000 8000,16,0x2000 C000,16,,
LPC4330|50,0x1000 0000,128,0x1008 0000,72,,,,,0x2000 0000,32,0x2000 8000,16,0x2000 C000,16,,
LPC4312|13|22|23,0x1000 0000,32,0x1008 0000,40,,,,,0x2000 0000,16,,,0x2000 C000,16,,
LPC4315|17|25|27|33|37|53|57,0x1000 0000,32,0x1008 0000,40,,,,,0x2000 0000,32,0x2000 8000,16,0x2000 C000,16,,
LPC1110,0x1000 0000,1,,,,,,,,,,,,,,
LPC1111xxxxx/002|101|102|103,0x1000 0000,2,,,,,,,,,,,,,,
LPC1112xHxxx/101|102|103,0x1000 0000,2,,,,,,,,,,,,,,
LPC1111xxxxx/201|202|203,0x1000 0000,4,,,,,,,,,,,,,,
LPC1112xxxxx/201|202|203,0x1000 0000,4,,,,,,,,,,,,,,
LPC1112xDxx?/102,0x1000 0000,4,,,,,,,,,,,,,,
LPC1113xxxxx/201|202|203,0x1000 0000,4,,,,,,,,,,,,,,
LPC1113xxxxx/301|302|303,0x1000 0000,8,,,,,,,,,,,,,,
LPC1114xxxx?/102|201|202|203,0x1000 0000,4,,,,,,,,,,,,,,
LPC1114xxxxx/301|302|303|323|333,0x1000 0000,8,,,,,,,,,,,,,,
LPC1115,0x1000 0000,8,,,,,,,,,,,,,,
LPC11U66,0x1000 0000,8,0x2000 0000,2,,,0x2000 4000,2,,,,,,,,
LPC11U67,0x1000 0000,16,0x2000 0000,2,,,0x2000 4000,2,,,,,,,,
LPC11U68,0x1000 0000,32,0x2000 0000,2,,,0x2000 4000,2,,,,,,,,
LPC1517|47,0x0200 0000,4,0x0200 4000,4,0x0200 8000,4,,,,,,,,,,
LPC1518|48,0x0200 0000,8,0x0200 4000,8,0x0200 8000,4,,,,,,,,,,
LPC1519|49,0x0200 0000,16,0x0200 4000,16,0x0200 8000,4,,,,,,,,,,
LPC4370,0x1000 0000,128,0x1008 0000,72,,,,,0x2000 0000,32,0x2000 8000,16,0x2000 C000,16,0x1800 0000,20
LPC11E66,0x1000 0000,8,0x2000 0000,2,0x2000 4000,2,,,,,,,,,,
LPC11E67,0x1000 0000,16,0x2000 0000,2,0x2000 4000,2,,,,,,,,,,
LPC11E68,0x1000 0000,32,0x2000 0000,2,0x2000 4000,2,,,,,,,,,,
LPC112x,0x1000 0000,8,,,,,,,,,,,,,,
LPC18Sx,0x1000 0000,32,,,,,,,,,,,,,,
LPC43S20,0x1000 0000,96,,,,,,,,,,,,,,
LPC43S30,0x1000 0000,128,,,,,,,,,,,,,,
LPC43S57,0x1000 0000,128,,,,,,,,,,,,,,
LPC82x,0x10000000,8,,,,,,,,,,,,,,
