Part Number,Package,Package,Core,Operating Frequency (MHz) (Processor speed),FLASH Size (Prog),Data0E2PROM0(B),Internal RAM Size,Timers (16 bit) typ,Timers (32 bit) typ,Other timer functions,A/D Converters (12-bit channels) default,A/D Converters (16-bit channels) default,D/A Converters  (12 bit),Comparator,I/Os (High Current),Display controller ,Integrated op-amps,I2C,SPI,I2S,CAN ,USB Type,USART ,UART,Additional Serial Interfaces,Parallel Interfaces ,Crypto-HASH ,TRNG,Supply Voltage (V) min,Supply Voltage (V) max,Supply Current (µA) (Lowest power mode) typ,Supply Current (µA) (Run mode (per Mhz)) typ,Operating Temperature (°C) min,Operating Temperature (°C) max,,,,,,,,,,,,,,,
STM32F205RB,Active,Active,ARM Cortex-M3,120,128,0,64,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F205RC,Active,Active,ARM Cortex-M3,120,256,0,96,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F205RE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F205RF,Active,Active,ARM Cortex-M3,120,768,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,,,,,,,,,,,,,
STM32F205RG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F205VB,Active,Active,ARM Cortex-M3,120,128,0,64,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,,,,,,,,,,,,,
STM32F205VC,Active,Active,ARM Cortex-M3,120,256,0,96,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F205VE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F205VF,Active,Active,ARM Cortex-M3,120,768,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,,,,,,,,,,,,,
STM32F205VG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F205ZC,Active,Active,ARM Cortex-M3,120,256,0,96,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F205ZE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F205ZF,Active,Active,ARM Cortex-M3,120,768,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,,,,,,,,,,,,,
STM32F205ZG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F207IC,Active,Active,ARM Cortex-M3,120,256,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,140,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,,,,,,,,,,,,,
