Part Number,Package,Package,Core,Operating Frequency (MHz) (Processor speed),FLASH Size (Prog),Data0E2PROM0(B),Internal RAM Size,Timers (16 bit) typ,Timers (32 bit) typ,Other timer functions,A/D Converters (12-bit channels) default,A/D Converters (16-bit channels) default,D/A Converters  (12 bit),Comparator,I/Os (High Current),Display controller ,Integrated op-amps,I2C,SPI,I2S,CAN ,USB Type,USART ,UART,Additional Serial Interfaces,Parallel Interfaces ,Crypto-HASH ,TRNG,Supply Voltage (V) min,Supply Voltage (V) max,Supply Current (µA) (Lowest power mode) typ,Supply Current (µA) (Run mode (per Mhz)) typ,Operating Temperature (°C) min,Operating Temperature (°C) max,,,,,,,,,,,,,,
STM32F401CC,Active,Active,ARM Cortex-M4,84,256,0,64,24-bit downcounter,2xWDG,RTC,10,-0,-0,36,-0,-0,3,3,2,-0,USB OTG FS,3,-0,-0,-0,-0,-0,1.7,3.6,1.8,128,-40,105,85,6,2,,,,,,,,,,,,
STM32F412ZE,Active,Active,ARM Cortex-M4,100,512,0,256,2xWDG,RTC,SysTick,16,-0,-0,114,-0,-0,4,5,5,2,USB OTG FS,4,-0,-0,DFSDM,FMC,Quad SPI,SDIO,-0,-0,1.7,3.6,1.1,112,-40,125,85,12,2,,,,,,,,,
STM32F446VE,Active,Active,ARM Cortex-M4,180,512,0,128,24-bit downcounter,2xWDG,RTC,16,-0,-0,81,-0,-0,4,4,3,2,USB OTG FS,USB OTG FS + USB OTG FS/HS,4,4,HDMI CEC,SAI,FMC,Quad SPI,SDIO,-0,-0,1.8,3.6,1.12,167,-40,105,85,12,2,,,,,,,,
STM32F469NI,Active,Active,ARM Cortex-M4,180,2048,0,384,24-bit downcounter,2xWDG,RTC,24,-0,-0,161,LCD TFT Controller up to 1024x728,MIPI DSI,-0,3,6,2,2,USB OTG FS + USB OTG FS/HS,4,4,Ethernet,SAI,Camera IF,FMC,Quad SPI,SD/MMC,-0,-0,1.7,3.6,140,282,-40,105,85,12,2,,,,,,,
STM32F746NG,Active,Active,ARM Cortex-M7,216,1024,0,320,24-bit downcounter,2xWDG,RTC,24,-0,-0,168,LCD TFT Controller up to 1024x728,-0,4,6,3,2,USB OTG FS + USB OTG FS/HS,4,4,Ethernet,HDMI CEC,S/PDIF,SAI,Camera IF,DCMI,Dual Quad SPI,FMC,SDIO,-0,true,1.7,3.6,1.7,472,-40,105,85,12,2,,,,,
STM32F765NG,Active,Active,ARM Cortex-M7,216,1024,0,512,24-bit downcounter,2xWDG,RTC,24,-0,-0,168,-0,-0,4,6,3,3,USB OTG FS + USB OTG FS/HS,4,4,Ethernet,HDMI CEC,S/PDIF,SAI,Camera IF,DCMI,DFSDM,Dual Quad SPI,FMC,SDIO,-0,true,1.7,3.6,2.5,420,-40,105,85,12,2,,,,
STM32F205RB,Active,Active,ARM Cortex-M3,120,128,0,64,2 x WDG,24-bit down counter,RTC,16,-0,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,12,2,,,,,,,,,,,,
STM32F205RC,Active,Active,ARM Cortex-M3,120,256,0,96,2 x WDG,24-bit down counter,RTC,16,-0,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,12,2,,,,,,,,,,,,
STM32F205RE,Active,Active,ARM Cortex-M3,120,512,0,128,2 x WDG,24-bit down counter,RTC,16,-0,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,12,2,,,,,,,,,,,,
STM32F205RF,Active,Active,ARM Cortex-M3,120,768,0,128,2 x WDG,24-bit down counter,RTC,16,-0,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,12,2,,,,,,,,,,,,,
