MCUMASK,SRAM,SRAM SIZE,SRAM2,SRAM2 SIZE,SRAM3,SRAM3 SIZE,CCM,CCM SIZE,Data EEPROM,Data EEPROM SIZE,Data EEPROM 2,Data EEPROM2 SIZE,FLASH,FLASH SIZE,FLASH2,FLASH2 SIZE,BACKUP SRAM,BACKUP SRAM SIZE
STM32F100xC,0x2000 0000,24,,,,,,,,,,,0x0800 0000,256,,,,
STM32F100xD,0x2000 0000,32,,,,,,,,,,,0x0800 0000,384,,,,
STM32F100xE,0x2000 0000,32,,,,,,,,,,,0x0800 0000,512,,,,
STM32F100x4,0x2000 0000,4,,,,,,,,,,,0x0800 0000,16,,,,
STM32F100x6,0x2000 0000,4,,,,,,,,,,,0x0800 0000,32,,,,
STM32F100x8,0x2000 0000,8,,,,,,,,,,,0x0800 0000,64,,,,
STM32F100xB,0x2000 0000,8,,,,,,,,,,,0x0800 0000,128,,,,
STM32F101x4,0x2000 0000,4,,,,,,,,,,,0x0800 0000,16,,,,
STM32F101x6,0x2000 0000,6,,,,,,,,,,,0x0800 0000,32,,,,
STM32F101x8,0x2000 0000,10,,,,,,,,,,,0x0800 0000,64,,,,
STM32F101xB,0x2000 0000,16,,,,,,,,,,,0x0800 0000,128,,,,
STM32F101xC,0x2000 0000,32,,,,,,,,,,,0x0800 0000,256,,,,
STM32F101xD,0x2000 0000,48,,,,,,,,,,,0x0800 0000,384,,,,
STM32F101xE,0x2000 0000,48,,,,,,,,,,,0x0800 0000,512,,,,
STM32F101xF,0x2000 0000,80,,,,,,,,,,,0x0800 0000,512,0x0808 0000,256,,
STM32F101xG,0x2000 0000,80,,,,,,,,,,,0x0800 0000,512,0x0808 0000,512,,
STM32F102x4,0x2000 0000,4,,,,,,,,,,,0x0800 0000,16,,,,
STM32F102x6,0x2000 0000,6,,,,,,,,,,,0x0800 0000,32,,,,
STM32F102x8,0x2000 0000,10,,,,,,,,,,,0x0800 0000,64,,,,
STM32F102xB,0x2000 0000,16,,,,,,,,,,,0x0800 0000,128,,,,
STM32F103x4,0x2000 0000,6,,,,,,,,,,,0x0800 0000,16,,,,
STM32F103x6,0x2000 0000,10,,,,,,,,,,,0x0800 0000,32,,,,
STM32F103x8,0x2000 0000,20,,,,,,,,,,,0x0800 0000,64,,,,
STM32F103xB,0x2000 0000,20,,,,,,,,,,,0x0800 0000,128,,,,
STM32F103xC,0x2000 0000,48,,,,,,,,,,,0x0800 0000,256,,,,
STM32F103xD,0x2000 0000,64,,,,,,,,,,,0x0800 0000,384,,,,
STM32F103xE,0x2000 0000,64,,,,,,,,,,,0x0800 0000,512,,,,
STM32F103xF,0x2000 0000,96,,,,,,,,,,,0x0800 0000,512,0x0808 0000,256,,
STM32F103xG,0x2000 0000,96,,,,,,,,,,,0x0800 0000,512,0x0808 0000,512,,
STM32F105x8,0x2000 0000,64,,,,,,,,,,,0x0800 0000,64,,,,
STM32F105xB,0x2000 0000,64,,,,,,,,,,,0x0800 0000,128,,,,
STM32F105xC,0x2000 0000,64,,,,,,,,,,,0x0800 0000,256,,,,
STM32F107xB,0x2000 0000,64,,,,,,,,,,,0x0800 0000,128,,,,
STM32F107xC,0x2000 0000,64,,,,,,,,,,,0x0800 0000,256,,,,
STM32F030x4,0x2000 0000,4,,,,,,,,,,,0x0800 0000,16,,,,
STM32F030x6,0x2000 0000,4,,,,,,,,,,,0x0800 0000,32,,,,
STM32F030x8,0x2000 0000,8,,,,,,,,,,,0x0800 0000,64,,,,
STM32F031x4,0x2000 0000,4,,,,,,,,,,,0x0800 0000,16,,,,
STM32F031x6,0x2000 0000,4,,,,,,,,,,,0x0800 0000,32,,,,
